,Time,Flow_x,Flow_y
0,1998-02-20 11:00:00,0.00010133861140849794,1.00321973478743e-05
1,1998-02-20 12:00:00,0.0001011618021539921,9.56917285819017e-06
2,1998-02-20 13:00:00,0.00010098958169980858,9.10614836850603e-06
3,1998-02-20 14:00:00,0.00010080076507396979,8.72029461846735e-06
4,1998-02-20 15:00:00,0.00010061597894748896,8.41161162534459e-06
5,1998-02-20 16:00:00,0.00010044197343111556,8.10292863222183e-06
6,1998-02-20 17:00:00,0.00010027255440313602,7.79424563219088e-06
7,1998-02-20 18:00:00,0.00010011391483211225,7.48556263906812e-06
8,1998-02-20 19:00:00,9.991431988742516e-05,7.33122114250674e-06
9,1998-02-20 20:00:00,9.972536396633919e-05,7.09970889363489e-06
10,1998-02-20 21:00:00,9.953672750313558e-05,6.94536739707351e-06
11,1998-02-20 22:00:00,9.935872892050667e-05,6.86819664879282e-06
12,1998-02-20 23:00:00,9.918104865385876e-05,6.7910258982094e-06
13,1998-02-21 00:00:00,9.900368613280364e-05,6.63668440164802e-06
14,1998-02-21 01:00:00,9.882664079145323e-05,6.63668440164802e-06
15,1998-02-21 02:00:00,9.864991206054441e-05,6.4823429033596e-06
16,1998-02-21 03:00:00,9.847349937418907e-05,6.40517215507891e-06
17,1998-02-21 04:00:00,9.829740216762417e-05,6.25083065851753e-06
18,1998-02-21 05:00:00,9.812161987608665e-05,6.17365990793411e-06
19,1998-02-21 06:00:00,9.794615193706353e-05,6.09648915965342e-06
20,1998-02-21 07:00:00,9.787416627620814e-05,6.09648915965342e-06
21,1998-02-21 08:00:00,9.78551815053603e-05,6.09648915965342e-06
22,1998-02-21 09:00:00,9.832887136558004e-05,6.09648915965342e-06
23,1998-02-21 10:00:00,9.844715880228889e-05,6.09648915965342e-06
24,1998-02-21 11:00:00,9.902463762208642e-05,6.09648916195615e-06
25,1998-02-21 12:00:00,0.00010253578625147874,6.40517215507891e-06
26,1998-02-21 13:00:00,0.0001088094756262756,1.17299537864465e-05
27,1998-02-21 14:00:00,0.00011886468111083066,1.0032197335785e-05
28,1998-02-21 15:00:00,0.00011420820866447311,7.94858713220635e-06
29,1998-02-21 16:00:00,0.00010556688843411168,7.63990413908359e-06
30,1998-02-21 17:00:00,9.961032614089763e-05,7.33122114250674e-06
31,1998-02-21 18:00:00,0.00010043780453858072,7.48556263906812e-06
32,1998-02-21 19:00:00,0.00010431905627056,9.9550265840502e-06
33,1998-02-21 20:00:00,0.00011182180196978004,9.02897760928738e-06
34,1998-02-21 21:00:00,0.00010548205607263791,8.1029286299191e-06
35,1998-02-21 22:00:00,0.0001006586239531823,7.79424563679634e-06
36,1998-02-21 23:00:00,0.00015825541004517568,9.41483166961887e-06
37,1998-02-22 00:00:00,0.000333636522590538,5.08555234963494e-05
38,1998-02-22 01:00:00,0.0005713319349664195,3.78136670369128e-05
39,1998-02-22 02:00:00,0.0006743680816122173,4.26754242033506e-05
40,1998-02-22 03:00:00,0.00038420621672595424,5.41738656971734e-05
41,1998-02-22 04:00:00,0.00020800952403167192,0.0001244764173808
42,1998-02-22 05:00:00,9.39958701840382e-05,0.0002139173156185
43,1998-02-22 06:00:00,9.385756002367055e-05,0.0001855956509995
44,1998-02-22 07:00:00,9.371955045899935e-05,0.0001363607135964
45,1998-02-22 08:00:00,9.361270733232667e-05,0.0001017110468412
46,1998-02-22 09:00:00,9.338704497383159e-05,8.14151400434728e-05
47,1998-02-22 10:00:00,9.319254798118523e-05,6.60581611356155e-05
48,1998-02-22 11:00:00,9.299400267167204e-05,5.7337866361714e-05
49,1998-02-22 12:00:00,9.282662165923288e-05,5.21674262269077e-05
50,1998-02-22 13:00:00,9.265953803166601e-05,4.6611132350698e-05
51,1998-02-22 14:00:00,9.249383794749377e-05,4.23667410962427e-05
52,1998-02-22 15:00:00,9.232843418504426e-05,3.88940574236117e-05
53,1998-02-22 16:00:00,9.21633262144302e-05,3.61930812337875e-05
54,1998-02-22 17:00:00,9.19985135068894e-05,3.34921049858195e-05
55,1998-02-22 18:00:00,9.183399553365963e-05,3.10998117891181e-05
56,1998-02-22 19:00:00,9.166977176710371e-05,2.82444941027325e-05
57,1998-02-22 20:00:00,9.15058416829595e-05,2.58522008530684e-05
58,1998-02-22 21:00:00,9.134220475471485e-05,2.40001028943318e-05
59,1998-02-22 22:00:00,9.117886045810762e-05,2.26110294252794e-05
60,1998-02-22 23:00:00,9.101580827000077e-05,2.13762974257313e-05
61,1998-02-23 00:00:00,9.08530476683822e-05,2.03730776980823e-05
62,1998-02-23 01:00:00,9.069057813123985e-05,1.9447028718714e-05
63,1998-02-23 02:00:00,9.052839913881172e-05,1.85209797197725e-05
64,1998-02-23 03:00:00,9.036651017021076e-05,1.77492722369656e-05
65,1998-02-23 04:00:00,9.020491070792501e-05,1.69775647541587e-05
66,1998-02-23 05:00:00,9.004360023331751e-05,1.62830280040891e-05
67,1998-02-23 06:00:00,8.98825782300013e-05,1.56656620178436e-05
68,1998-02-23 07:00:00,8.972184418271449e-05,1.52026375281595e-05
69,1998-02-23 08:00:00,8.956139757507012e-05,1.47396130286887e-05
70,1998-02-23 09:00:00,8.940123789518138e-05,1.43537592872853e-05
71,1998-02-23 10:00:00,8.924136462778639e-05,1.38907347976011e-05
72,1998-02-23 11:00:00,8.908204398211118e-05,1.35048810487138e-05
73,1998-02-23 12:00:00,9.002104862371402e-05,1.33505395521524e-05
74,1998-02-23 13:00:00,9.102994594783722e-05,1.35048810487138e-05
75,1998-02-23 14:00:00,9.313610065551323e-05,1.31190273027049e-05
