,Time,Flow_x,Flow_y
0,1998-02-20 11:00:00,0.00010133860729959596,1.00321973478743e-05
1,1998-02-20 12:00:00,0.00010113763203256226,9.56917285819017e-06
2,1998-02-20 13:00:00,0.000100941333634829,9.10614836850603e-06
3,1998-02-20 14:00:00,0.00010072854728140227,8.72029461846735e-06
4,1998-02-20 15:00:00,0.00010051987950688046,8.41161162534459e-06
5,1998-02-20 16:00:00,0.00010032207365696553,8.10292863222183e-06
6,1998-02-20 17:00:00,0.00010012894131364835,7.79424563219088e-06
7,1998-02-20 18:00:00,9.994666921864932e-05,7.48556263906812e-06
8,1998-02-20 19:00:00,9.972357210794939e-05,7.33122114250674e-06
9,1998-02-20 20:00:00,9.951119442559615e-05,7.09970889363489e-06
10,1998-02-20 21:00:00,9.929922628645707e-05,6.94536739707351e-06
11,1998-02-20 22:00:00,9.909797591400131e-05,6.86819664879282e-06
12,1998-02-20 23:00:00,9.889713342534633e-05,6.7910258982094e-06
13,1998-02-21 00:00:00,9.869669799359807e-05,6.63668440164802e-06
14,1998-02-21 01:00:00,9.849666879298742e-05,6.63668440164802e-06
15,1998-02-21 02:00:00,9.829704500112038e-05,6.4823429033596e-06
16,1998-02-21 03:00:00,9.809782579560295e-05,6.40517215507891e-06
17,1998-02-21 04:00:00,9.789901035629119e-05,6.25083065851753e-06
18,1998-02-21 05:00:00,9.770059786529117e-05,6.17365990793411e-06
19,1998-02-21 06:00:00,9.750258750583402e-05,6.09648915965342e-06
20,1998-02-21 07:00:00,9.740804781372264e-05,6.09648915965342e-06
21,1998-02-21 08:00:00,9.736654561070134e-05,6.09648915965342e-06
22,1998-02-21 09:00:00,9.781733311471783e-05,6.09648915965342e-06
23,1998-02-21 10:00:00,9.791314672284057e-05,6.09648915965342e-06
24,1998-02-21 11:00:00,9.846779883751718e-05,6.09648916195615e-06
25,1998-02-21 12:00:00,0.00010195346203009557,6.40517215507891e-06
26,1998-02-21 13:00:00,0.00010819912391491655,1.17299537864465e-05
27,1998-02-21 14:00:00,0.0001182228319183666,1.0032197335785e-05
28,1998-02-21 15:00:00,0.00011354879797027866,7.94858713220635e-06
29,1998-02-21 16:00:00,0.00010489381016748776,7.63990413908359e-06
30,1998-02-21 17:00:00,9.892111192008419e-05,7.33122114250674e-06
31,1998-02-21 18:00:00,9.972615694660927e-05,7.48556263906812e-06
32,1998-02-21 19:00:00,0.00010358215522356188,9.9550265840502e-06
33,1998-02-21 20:00:00,0.00011105631480051672,9.02897760928738e-06
34,1998-02-21 21:00:00,0.00010470112305257235,8.1029286299191e-06
35,1998-02-21 22:00:00,9.986092099298635e-05,7.79424563679634e-06
36,1998-02-21 23:00:00,0.0001573857573948041,9.41483166961887e-06
37,1998-02-22 00:00:00,0.0003325943660091291,5.08555234963494e-05
38,1998-02-22 01:00:00,0.0005700621958481101,3.78136670369128e-05
39,1998-02-22 02:00:00,0.000672993863801603,4.26754242033506e-05
40,1998-02-22 03:00:00,0.0003830602267516358,5.41738656971734e-05
41,1998-02-22 04:00:00,0.00020699481390724038,0.0001244764173808
42,1998-02-22 05:00:00,9.30574836419377e-05,0.0002139173156185
43,1998-02-22 06:00:00,9.289863521517449e-05,0.0001855956509995
44,1998-02-22 07:00:00,9.27401690317446e-05,0.0001363607135964
45,1998-02-22 08:00:00,9.261292151274171e-05,0.0001017110468412
46,1998-02-22 09:00:00,9.236704855512225e-05,8.14151400434728e-05
47,1998-02-22 10:00:00,9.215239271726914e-05,6.60581611356155e-05
48,1998-02-22 11:00:00,9.193377338239534e-05,5.7337866361714e-05
49,1998-02-22 12:00:00,9.174636962825233e-05,5.21674262269077e-05
50,1998-02-22 13:00:00,9.155934349358574e-05,4.6611132350698e-05
51,1998-02-22 14:00:00,9.137377987388599e-05,4.23667410962427e-05
52,1998-02-22 15:00:00,9.118859234475233e-05,3.88940574236117e-05
53,1998-02-22 16:00:00,9.100378014116709e-05,3.61930812337875e-05
54,1998-02-22 17:00:00,9.081934250373772e-05,3.34921049858195e-05
55,1998-02-22 18:00:00,9.06352786741967e-05,3.10998117891181e-05
56,1998-02-22 19:00:00,9.045158789315147e-05,2.82444941027325e-05
57,1998-02-22 20:00:00,9.02682694057096e-05,2.58522008530684e-05
58,1998-02-22 21:00:00,9.008532245697864e-05,2.40001028943318e-05
59,1998-02-22 22:00:00,8.990274629431619e-05,2.26110294252794e-05
60,1998-02-22 23:00:00,8.972054016507986e-05,2.13762974257313e-05
61,1998-02-23 00:00:00,8.953870332000234e-05,2.03730776980823e-05
62,1998-02-23 01:00:00,8.935723501094135e-05,1.9447028718714e-05
63,1998-02-23 02:00:00,8.917613449087962e-05,1.85209797197725e-05
64,1998-02-23 03:00:00,8.899540101392489e-05,1.77492722369656e-05
65,1998-02-23 04:00:00,8.881503383643499e-05,1.69775647541587e-05
66,1998-02-23 05:00:00,8.863503221589279e-05,1.62830280040891e-05
67,1998-02-23 06:00:00,8.845539541090612e-05,1.56656620178436e-05
68,1998-02-23 07:00:00,8.827612268345792e-05,1.52026375281595e-05
69,1998-02-23 08:00:00,8.809721329440615e-05,1.47396130286887e-05
70,1998-02-23 09:00:00,8.791866650685874e-05,1.43537592872853e-05
71,1998-02-23 10:00:00,8.774048158729878e-05,1.38907347976011e-05
72,1998-02-23 11:00:00,8.756292427070735e-05,1.35048810487138e-05
73,1998-02-23 12:00:00,8.848273963097311e-05,1.33505395521524e-05
74,1998-02-23 13:00:00,8.947245674928545e-05,1.35048810487138e-05
75,1998-02-23 14:00:00,9.155847921017894e-05,1.31190273027049e-05
